email,hidden_ability,language,name,persona,preferred_paper_type,strong_chapter_ids,student_code,synthetic_student_index,target_grade,target_score,user_id,weak_chapter_ids
synthetic.student0001@mathsy.synthetic,0.6289,english,Synthetic Student 001 (B Level),Flexible Learner,kertas1,"[9, 17]",STU-SYN0001,1,B,61.2,14763,"[11, 12]"
synthetic.student0002@mathsy.synthetic,0.684,english,Synthetic Student 002 (B+ Level),Weekend Learner,kertas1,"[5, 12, 15, 4]",STU-SYN0002,2,B+,67.25,14764,"[7, 1]"
synthetic.student0003@mathsy.synthetic,0.9169,bm,Synthetic Student 003 (A Level),High Achiever,mixed,"[3, 4]",STU-SYN0003,3,A,88.89,14765,"[17, 7, 8, 15, 9]"
synthetic.student0004@mathsy.synthetic,0.6171,bm,Synthetic Student 004 (B Level),Consistent Climber,kertas2,"[1, 2, 6]",STU-SYN0004,4,B,61.56,14766,"[18, 11, 8, 4, 7]"
synthetic.student0005@mathsy.synthetic,0.7145,english,Synthetic Student 005 (B Level),Deep Focus Learner,kertas2,"[10, 9, 11]",STU-SYN0005,5,B,64.49,14767,"[18, 13, 16, 7, 2]"
synthetic.student0006@mathsy.synthetic,0.4613,english,Synthetic Student 006 (E Level),Flexible Learner,kertas1,"[16, 12]",STU-SYN0006,6,E,43.5,14768,"[4, 13, 17]"
synthetic.student0007@mathsy.synthetic,0.7147,english,Synthetic Student 007 (B+ Level),Flexible Learner,kertas1,"[12, 18, 15, 4]",STU-SYN0007,7,B+,68.18,14769,"[17, 5, 2, 10]"
synthetic.student0008@mathsy.synthetic,0.7637,bm,Synthetic Student 008 (A- Level),Deep Focus Learner,kertas1,"[14, 18, 10]",STU-SYN0008,8,A-,74.86,14770,"[11, 4]"
synthetic.student0009@mathsy.synthetic,0.7843,english,Synthetic Student 009 (A Level),Consistent Climber,mixed,"[17, 12]",STU-SYN0009,9,A,82.39,14771,"[13, 3]"
synthetic.student0010@mathsy.synthetic,0.6251,bm,Synthetic Student 010 (C+ Level),Deep Focus Learner,kertas1,"[1, 7, 3]",STU-SYN0010,10,C+,56.97,14772,"[18, 12, 15, 14, 4]"
synthetic.student0011@mathsy.synthetic,0.4573,english,Synthetic Student 011 (E Level),Flexible Learner,kertas1,"[2, 7, 11]",STU-SYN0011,11,E,44.4,14773,"[14, 1]"
synthetic.student0012@mathsy.synthetic,0.562,bm,Synthetic Student 012 (C Level),Weekend Learner,kertas1,"[9, 10, 6, 8]",STU-SYN0012,12,C,51.55,14774,"[13, 4, 14, 15]"
synthetic.student0013@mathsy.synthetic,0.7122,english,Synthetic Student 013 (B+ Level),Flexible Learner,kertas1,"[6, 12]",STU-SYN0013,13,B+,66.25,14775,"[3, 2, 14, 17, 8]"
synthetic.student0014@mathsy.synthetic,0.8408,bm,Synthetic Student 014 (A Level),Consistent Climber,mixed,"[9, 12, 11, 5]",STU-SYN0014,14,A,87.56,14776,"[4, 13]"
synthetic.student0015@mathsy.synthetic,0.745,bm,Synthetic Student 015 (A- Level),Consistent Climber,kertas2,"[6, 15]",STU-SYN0015,15,A-,75.47,14777,"[3, 13, 14, 10]"
synthetic.student0016@mathsy.synthetic,0.4618,bm,Synthetic Student 016 (G Level),Weekend Learner,kertas1,"[18, 12, 6, 13]",STU-SYN0016,16,G,38.99,14778,"[17, 1, 4, 14]"
synthetic.student0017@mathsy.synthetic,0.6887,bm,Synthetic Student 017 (B+ Level),Weekend Learner,kertas2,"[5, 13]",STU-SYN0017,17,B+,66.62,14779,"[15, 18, 16]"
synthetic.student0018@mathsy.synthetic,0.6891,bm,Synthetic Student 018 (B Level),Weekend Learner,mixed,"[7, 10, 15]",STU-SYN0018,18,B,62.44,14780,"[6, 1, 13, 9, 5]"
synthetic.student0019@mathsy.synthetic,0.6265,english,Synthetic Student 019 (C+ Level),Weekend Learner,mixed,"[8, 9]",STU-SYN0019,19,C+,56.99,14781,"[18, 15, 13, 10, 4]"
synthetic.student0020@mathsy.synthetic,0.696,english,Synthetic Student 020 (A- Level),Consistent Climber,kertas1,"[5, 14, 9]",STU-SYN0020,20,A-,74.3,14782,"[12, 1]"
synthetic.student0021@mathsy.synthetic,0.754,english,Synthetic Student 021 (A- Level),Consistent Climber,mixed,"[7, 2, 5, 8]",STU-SYN0021,21,A-,78.5,14783,"[9, 17, 3]"
synthetic.student0022@mathsy.synthetic,0.6267,english,Synthetic Student 022 (C+ Level),Flexible Learner,kertas1,"[10, 12, 14]",STU-SYN0022,22,C+,58.58,14784,"[7, 15, 18]"
synthetic.student0023@mathsy.synthetic,0.7066,bm,Synthetic Student 023 (B+ Level),Weekend Learner,kertas2,"[14, 5, 7, 16]",STU-SYN0023,23,B+,65.51,14785,"[15, 8, 12, 10, 9]"
synthetic.student0024@mathsy.synthetic,0.6645,english,Synthetic Student 024 (B Level),Weekend Learner,kertas2,"[7, 2, 13]",STU-SYN0024,24,B,62.19,14786,"[18, 16, 14, 3]"
synthetic.student0025@mathsy.synthetic,0.4649,english,Synthetic Student 025 (E Level),Flexible Learner,mixed,"[8, 13, 11, 6]",STU-SYN0025,25,E,40.91,14787,"[9, 4, 18, 7, 14]"
synthetic.student0026@mathsy.synthetic,0.6916,english,Synthetic Student 026 (B Level),Flexible Learner,kertas2,"[12, 3, 4]",STU-SYN0026,26,B,62.38,14788,"[10, 5, 8, 6, 1]"
synthetic.student0027@mathsy.synthetic,0.6127,bm,Synthetic Student 027 (C Level),Fresh Starter,kertas1,"[8, 13]",STU-SYN0027,27,C,50.03,14789,"[9, 2, 11]"
synthetic.student0028@mathsy.synthetic,0.5534,bm,Synthetic Student 028 (E Level),Fresh Starter,mixed,"[12, 1, 9, 11]",STU-SYN0028,28,E,43.57,14790,"[2, 16]"
synthetic.student0029@mathsy.synthetic,0.5121,english,Synthetic Student 029 (G Level),Fresh Starter,kertas1,"[7, 3, 4]",STU-SYN0029,29,G,38.62,14791,"[16, 9, 2, 13, 5]"
synthetic.student0030@mathsy.synthetic,0.6006,english,Synthetic Student 030 (C Level),Weekend Learner,kertas1,"[8, 4, 7, 18]",STU-SYN0030,30,C,52.38,14792,"[15, 6, 12, 13, 11]"
synthetic.student0031@mathsy.synthetic,0.6357,english,Synthetic Student 031 (B Level),Flexible Learner,kertas1,"[13, 18, 10]",STU-SYN0031,31,B,62.35,14793,"[7, 12, 2]"
synthetic.student0032@mathsy.synthetic,0.695,bm,Synthetic Student 032 (B+ Level),Flexible Learner,mixed,"[8, 13]",STU-SYN0032,32,B+,65.25,14794,"[18, 14, 10]"
synthetic.student0033@mathsy.synthetic,0.647,english,Synthetic Student 033 (C+ Level),Deep Focus Learner,kertas1,"[13, 17, 11]",STU-SYN0033,33,C+,58.65,14795,"[12, 18, 5, 3]"
synthetic.student0034@mathsy.synthetic,0.5822,english,Synthetic Student 034 (C Level),Flexible Learner,kertas2,"[3, 16, 7]",STU-SYN0034,34,C,53.24,14796,"[4, 11, 8, 9]"
synthetic.student0035@mathsy.synthetic,0.7146,english,Synthetic Student 035 (B+ Level),Weekend Learner,kertas1,"[8, 17, 2]",STU-SYN0035,35,B+,69.04,14797,"[14, 11, 4]"
synthetic.student0036@mathsy.synthetic,0.9252,english,Synthetic Student 036 (A+ Level),High Achiever,kertas2,"[6, 14, 17, 2]",STU-SYN0036,36,A+,97.0,14798,"[3, 18]"
synthetic.student0037@mathsy.synthetic,0.7096,bm,Synthetic Student 037 (B+ Level),Weekend Learner,kertas2,"[14, 1]",STU-SYN0037,37,B+,66.75,14799,"[15, 3, 6]"
synthetic.student0038@mathsy.synthetic,0.6965,english,Synthetic Student 038 (B Level),Deep Focus Learner,kertas1,"[16, 8, 11, 18]",STU-SYN0038,38,B,64.85,14800,"[12, 7]"
synthetic.student0039@mathsy.synthetic,0.5599,bm,Synthetic Student 039 (C Level),Deep Focus Learner,kertas2,"[9, 3]",STU-SYN0039,39,C,52.65,14801,"[11, 4, 1]"
synthetic.student0040@mathsy.synthetic,0.4522,bm,Synthetic Student 040 (D Level),Flexible Learner,mixed,"[3, 7, 4, 17]",STU-SYN0040,40,D,45.97,14802,"[18, 14]"
synthetic.student0041@mathsy.synthetic,0.5085,english,Synthetic Student 041 (E Level),Flexible Learner,kertas1,"[8, 12, 1, 4]",STU-SYN0041,41,E,44.92,14803,"[9, 17, 2, 16, 5]"
synthetic.student0042@mathsy.synthetic,0.4232,bm,Synthetic Student 042 (G Level),Weekend Learner,kertas1,"[12, 2, 18, 15]",STU-SYN0042,42,G,37.9,14804,"[10, 8, 6, 5, 7]"
synthetic.student0043@mathsy.synthetic,0.8591,english,Synthetic Student 043 (A+ Level),Consistent Climber,kertas1,"[16, 11, 4, 7]",STU-SYN0043,43,A+,92.19,14805,"[18, 10]"
synthetic.student0044@mathsy.synthetic,0.5448,english,Synthetic Student 044 (C Level),Deep Focus Learner,mixed,"[9, 11, 1, 10]",STU-SYN0044,44,C,50.56,14806,"[8, 7, 2, 4]"
synthetic.student0045@mathsy.synthetic,0.6511,english,Synthetic Student 045 (B+ Level),Consistent Climber,kertas1,"[16, 13, 11, 2]",STU-SYN0045,45,B+,65.75,14807,"[3, 15, 17]"
synthetic.student0046@mathsy.synthetic,0.6816,english,Synthetic Student 046 (B+ Level),Flexible Learner,kertas1,"[17, 11]",STU-SYN0046,46,B+,65.82,14808,"[2, 1, 3]"
